Time (1 offset),Grill,Pork
07/03/26 15:46:45,,56.1
07/03/26 15:46:50,91.2,
07/03/26 15:46:55,91.2,
07/03/26 15:47:05,91.6,
07/03/26 15:47:10,91.6,
07/03/26 15:47:40,,56.4
07/03/26 15:47:45,,56.4
07/03/26 15:47:50,92.9,
07/03/26 15:47:55,92.9,
07/03/26 15:48:40,,56.6
07/03/26 15:48:45,,56.6
07/03/26 15:48:50,94.0,
07/03/26 15:48:55,94.0,
07/03/26 15:49:45,,56.8
07/03/26 15:49:50,,56.8
07/03/26 15:49:55,95.6,
07/03/26 15:50:00,95.6,
07/03/26 15:50:45,,57.1
07/03/26 15:50:50,,57.1
07/03/26 15:50:55,96.8,
07/03/26 15:51:00,96.8,
07/03/26 15:51:45,,57.3
07/03/26 15:51:50,,57.3
07/03/26 15:51:55,98.0,
07/03/26 15:52:00,98.0,
07/03/26 15:52:45,,57.5
07/03/26 15:52:50,,57.5
07/03/26 15:52:55,99.3,
07/03/26 15:53:00,99.3,
07/03/26 15:54:05,100.6,57.8
07/03/26 15:54:10,100.6,57.8
07/03/26 15:55:05,101.9,58.0
07/03/26 15:55:10,101.9,58.0
07/03/26 15:56:05,102.1,58.2
07/03/26 15:56:10,102.1,58.2
07/03/26 15:57:10,102.1,58.4
07/03/26 15:57:15,102.1,58.4
07/03/26 15:58:10,101.4,58.6
07/03/26 15:58:15,101.4,58.6
07/03/26 15:59:10,112.0,58.8
07/03/26 15:59:15,112.0,58.8
07/03/26 16:00:10,117.8,59.0
07/03/26 16:00:15,117.8,59.0
07/03/26 16:01:10,117.9,59.2
07/03/26 16:01:15,117.9,59.2
07/03/26 16:02:15,119.9,59.3
07/03/26 16:02:20,119.9,59.3
07/03/26 16:03:15,123.9,59.5
07/03/26 16:03:20,123.9,59.5
07/03/26 16:04:15,121.4,59.7
07/03/26 16:04:20,121.4,59.7
07/03/26 16:05:15,122.0,59.9
07/03/26 16:05:20,122.0,59.9
07/03/26 16:06:15,117.7,60.0
07/03/26 16:06:20,117.7,60.0
07/03/26 16:07:20,116.7,60.2
07/03/26 16:07:25,116.7,60.2
07/03/26 16:08:20,115.8,60.4
07/03/26 16:08:25,115.8,60.4
07/03/26 16:09:20,114.7,60.6
07/03/26 16:09:25,114.7,60.6
07/03/26 16:10:25,113.9,60.8
07/03/26 16:10:30,113.9,60.8
07/03/26 16:11:25,108.4,60.9
07/03/26 16:11:30,108.4,60.9
07/03/26 16:12:30,109.3,61.1
07/03/26 16:12:35,109.3,61.1
07/03/26 16:13:35,109.4,61.3
07/03/26 16:13:40,109.4,61.3
07/03/26 16:14:35,109.4,61.4
07/03/26 16:14:40,109.4,61.4
07/03/26 16:15:35,110.0,61.6
07/03/26 16:15:40,110.0,61.6
07/03/26 16:16:35,109.8,61.8
07/03/26 16:16:40,109.8,61.8
07/03/26 16:17:35,108.9,62.0
07/03/26 16:17:40,108.9,62.0
07/03/26 16:18:40,108.5,62.2
07/03/26 16:18:45,108.5,62.2
07/03/26 16:19:40,108.8,62.4
07/03/26 16:19:45,108.8,62.4
07/03/26 16:20:40,107.5,62.6
07/03/26 16:20:45,107.5,62.6
07/03/26 16:21:40,106.7,62.8
07/03/26 16:21:45,106.7,62.8
07/03/26 16:22:40,105.6,63.0
07/03/26 16:22:45,105.6,63.0
07/03/26 16:23:45,105.3,63.2
07/03/26 16:23:50,105.3,63.2
07/03/26 16:24:45,105.3,63.4
07/03/26 16:24:50,105.3,63.4
07/03/26 16:25:45,105.9,63.6
07/03/26 16:25:50,105.9,63.6
07/03/26 16:26:45,106.1,63.8
07/03/26 16:26:50,106.1,63.8
07/03/26 16:27:45,106.2,64.0
07/03/26 16:27:50,106.2,64.0
07/03/26 16:28:50,106.3,64.1
07/03/26 16:28:55,106.3,64.1
07/03/26 16:29:50,106.3,64.2
07/03/26 16:29:55,106.3,64.2
07/03/26 16:30:50,106.5,64.3
07/03/26 16:30:55,106.5,64.3
07/03/26 16:31:50,106.4,64.5
07/03/26 16:31:55,106.4,64.5
07/03/26 16:32:50,105.6,64.6
07/03/26 16:32:55,105.6,64.6
07/03/26 16:33:55,103.8,64.7
07/03/26 16:34:00,103.8,64.7
07/03/26 16:34:55,102.1,64.8
07/03/26 16:35:00,102.1,64.8
07/03/26 16:35:55,100.8,65.0
07/03/26 16:36:00,100.8,65.0
07/03/26 16:37:00,99.9,65.1
07/03/26 16:37:05,99.9,65.1
07/03/26 16:38:00,98.8,65.1
07/03/26 16:38:05,98.8,65.1
07/03/26 16:39:05,98.1,65.2
07/03/26 16:39:10,98.1,65.2
07/03/26 16:39:25,,65.2
07/03/26 16:39:30,,65.2
07/03/26 16:40:10,97.7,65.3
07/03/26 16:40:15,97.7,65.3
07/03/26 16:41:10,85.8,65.4
07/03/26 16:41:15,85.8,65.4
07/03/26 16:42:10,87.7,65.5
07/03/26 16:42:15,87.7,65.5
07/03/26 16:43:10,88.4,65.6
07/03/26 16:43:15,88.4,65.6
07/03/26 16:44:05,86.2,
07/03/26 16:44:10,86.4,65.7
07/03/26 16:44:15,86.4,65.7
07/03/26 16:45:15,87.8,65.8
07/03/26 16:45:20,87.8,65.8
07/03/26 16:46:15,88.8,65.8
07/03/26 16:46:20,88.8,65.8
07/03/26 16:47:15,86.0,65.9
07/03/26 16:47:20,86.0,65.9
07/03/26 16:48:15,92.6,66.0
07/03/26 16:48:20,92.6,66.0
07/03/26 16:49:15,94.0,66.0
07/03/26 16:49:20,94.0,66.0
07/03/26 16:50:20,94.5,66.1
07/03/26 16:50:25,94.5,66.1
07/03/26 16:51:20,95.3,66.2
07/03/26 16:51:25,95.3,66.2
07/03/26 16:52:20,96.2,66.2
07/03/26 16:52:25,96.2,66.2
07/03/26 16:53:20,97.5,66.2
07/03/26 16:53:25,97.5,66.2
07/03/26 16:54:25,99.3,66.3
07/03/26 16:54:30,99.3,66.3
07/03/26 16:55:25,100.9,66.3
07/03/26 16:55:30,100.9,66.3
07/03/26 16:56:25,104.6,66.4
07/03/26 16:56:30,104.6,66.4
07/03/26 16:57:25,106.3,66.4
07/03/26 16:57:30,106.3,66.4
07/03/26 16:58:35,107.5,66.5
07/03/26 16:58:40,107.5,66.5
07/03/26 16:59:40,108.2,66.5
07/03/26 16:59:45,108.2,66.5
07/03/26 17:00:45,105.6,66.5
07/03/26 17:00:50,105.6,66.5
07/03/26 17:01:50,115.7,66.6
07/03/26 17:01:55,115.7,66.6
07/03/26 17:02:50,118.3,66.6
07/03/26 17:02:55,118.3,66.6
07/03/26 17:03:55,116.2,66.7
07/03/26 17:04:00,116.2,66.7
07/03/26 17:05:00,115.6,66.7
07/03/26 17:05:05,115.6,66.7
07/03/26 17:06:00,115.5,66.7
07/03/26 17:06:05,115.5,66.7
07/03/26 17:07:00,117.2,66.8
07/03/26 17:07:05,117.2,66.8
07/03/26 17:08:00,124.9,66.9
07/03/26 17:08:05,124.9,66.9
07/03/26 17:09:00,125.5,66.9
07/03/26 17:09:05,125.5,66.9
